Date,Total,Calories Burned,Minutes Sedentary,Minutes Active,Activity Calories
Monday 4,3468,1660,1378,62,367
Tuesday 5,3131,1512,1398,42,178
Wednesday 6,3480,1644,1317,123,394
Thursday 7,4923,2290,1158,282,1185
Friday 8,4900,2294,1193,247,1158
Monday 11,3368,1614,1388,52,313
Tuesday 12,3942,1882,1357,83,619
Wednesday 13,3552,1669,1296,144,441
Thursday 14,4261,2002,1247,193,816
Friday 15,4822,2278,1236,204,1097
Tuesday 19,4648,2184,1210,230,1020
Wednesday 20,4582,2166,1228,212,970
Thursday 21,3832,1786,1238,202,603
Friday 22,4840,2270,1205,235,1123
Monday 25,6644,3124,1080,360,2076
Tuesday 26,10780,3200,887,308,1988
Wednesday 27,3561,1674,1299,141,445
Thursday 28,4289,1995,1204,236,850
Friday 29,4314,2038,1030,298,943
Saturday 30,3743,1767,1213,178,583
