income,total,registered,not_registered,voted,not_voted
"Less than $10,000",4417,2729,1688,2166,2251
"$10,000 to $14,999",4392,2770,1622,2248,2144
"$15,000 to $19,999",4028,2674,1354,2251,1777
"$20,000 to $29,999",11725,7869,3856,6606,5119
"$30,000 to $39,999",14144,10051,4093,8793,5351
"$40,000 to $49,999",11295,8202,3093,7307,3988
"$50,000 to $74,999",27850,21765,6085,19743,8107
"$75,000 to $99,999",18114,14844,3270,13846,4268
"$100,000 to $149,999",17521,14715,2806,13739,3782
"$150,000 and over",12579,10819,1760,10269,2310
Income not reported,27094,14482,12612,13286,13808
