myth,description,google_hits,perc,y_n,category
The Vomitorium,Not a room Romans used during Bacchanalian binges but the name for the entrance to a stadium. Vomiting was not a regular part of Roman dining customs.,14800,0.001,,history
The 'Dark Ages',The period between the decline of the Roman Empire and the Renaissance was not that dark or backward. An historical cliche.,5940000,0.562,,history
Viking's Horned Helmets,Created by a costume designer for a 19th century Wagner opera.,36800,0.003,,history
Iron Maidens,Never were medieval torture devices. But 18th century fakes created for sensational circuses. ,414000,0.039,,history
Chastity Belts,Not used to prevent a wife's adultery in medieval times. Instead invented by 19th century prudes to prevent 'dangerous' masturbation. ,35100,0.003,,history
Pilgrims wore all black,"Nope. They sported late Elizabethan in-colours: reds, yellows, purples and greens. And no buckle hats!",1490000,0.141,y,history
The First Thanksgiving,Celebrations were recorded 50 years before the 'first' Thanksgiving at Plymouth Colony.,1160000,0.110,,history
Washington's wooden teeth,"A much more hygenic mix of gold, ivory, lead and horse and donkey teeth. No wood. ",41400,0.004,y,history
US Constitution written on hemp,"Written on parchment, despite the best efforts of stoner revisionists to convince you otherwise. ",417000,0.039,,history
Salieri vs Mozart,They were friends with a little rivalry. Nothing more.,5230,0.000,,history
Napoleon was short,"A tall tale. At 5'7"", he was actually above average height for a Frenchman of the time.",33400000,3.160,,history
Lincoln freed all slaves,He instigated the process but full abolition didn't occur until three years later after the Emancipation Proclamation.,4080000,0.386,y,history
Mussolini's trains ran on time,Fascist propaganda. They did run on time but only because of work done before his reign.,141000,0.013,y,history
Einstein failed maths,"Nope. He failed an entrance exam for a school, two years early, and still excelled in maths.",2130000,0.201,y,history
Missing Persons Reports,"Police do not demand a 24 hour period before they accept a missing persons report, especially if violence is involved.",634000,0.060,y,Law
You have to say if you're a cop,US Police working entrapment law do not have to identify themselves. A hollywood-induced myth. ,436000,0.041,,Law
Searing meat seals in moisture.,Nope. It's for flavour.,19100,0.002,y,Cooking
Oil stops pasta sticking,Does not prevent sticking. But it can stop the water foaming or boiling over.,5200000,0.492,,Cooking
Cooking removes alcohol,Partly true. But studies show not all burns off.,16300,0.002,,Cooking
MSG causes headaches,Anecdotal evidence. But no scientific proof.,1850000,0.175,,Science
Sushi is raw fish,Lost in translation. Sushi means 'sour rice' and does not always feature fish.  Sashimi means 'raw' - but isn't just fish.,63100,0.006,difficult accurate search,Cooking
"Thomas Crapper invented ""crap""",Actually it's Latin for chaff. ,40400,0.004,y,Etymology
Rule of thumb,Not from a law allowing a man to hit his wife with a stick no thicker than his thumb. ,1040000,0.098,"y,  ""Rule of thumb"" beating women",Etymology
Great Wall of China visible from Space,Myth. ,1110000,0.105,y,Science
Seasons are caused by the Earth's distance from the Sun.,They're actually related to the 23 degree tilt of the Earth's axis.,5070,0.000,y,Science
Bulls hate red.,Bulls are colour-blind. They actually react to motion as a perceived threat.,7120,0.001,"y, ""bulls hate the color red""",Nature
Dogs sweat by salivating,They regulate temperature through panting but sweat through footpads.,1280000,0.121,,Nature
Bats are blind.,No. They can see AND use echolocation. Awesome!,81000,0.008,y,Nature
Don't touch baby birds!,Birds have a limited sense of smell. Probably more harmful to leave them to the cats but it's all relative.,154000,0.015,,nature
Goldfish memory span,"While not the smartest in the animal kingdom, Goldfish do boast a better memory than most politicans.",38700,0.004,"y, ""goldfish"" ""short memory""",nature
Sharks don't get cancer.,Oh yes they do. Particularly skin cancer.,121000,0.011,y,nature
Houseflies live for 24 hours,Average lifespan is actually about a month. Maggots hatch within 24 hours.,55600,0.005,,nature
Bananas grow on trees.,Nope. Bananas actually grow on massive herbs which resemble trees.,55600,0.005,y,nature
"Evolution is just a ""theory""","In science, the word theory  means something more than a conjectureæ",899000,0.085,y,science/nature
Humans evolved from chimpanzees,"No - they are our closest living genetic relatives, along with bonobos. A shared ancestor last lived 5-8 million years ago.",300000,0.028,,science/nature
Evolution is always creating more complex organisms,"Not always a simple to complex progression: sometimes a smaller genome will be evolved, but 'devolution' is a misnomer.",10200,0.001,"evolution ""towards complexity""",science/nature
Humans and dinosaurs co-existed,"Despite 59% of US adults thinking they did, we actually missed each other by ~63 million years.",259000,0.025,y,science/nature
Glass is a liquid,"Has both solid and liquid properties. ""This is why stained glass windows are thicker at the bottom"" Not true though. Bad manufacturing process is the cause.",1060000,0.100,"y,   ""glass is a liquid""",science
Waking sleepwalkers is dangerous,"No, but they'll be really confused. Sleepwalkers are more likely to hurt themselves if they're not awoken. ",941000,0.089,y,health
Sleeping with an electric fan on can be deadly,Big myth in Korea. Very unlikely.,159000,0.015,y,science
Most body heat is lost through the head,Only in infants. Or if the head is the only uncovered part of the body.,434000,0.041,What % is normally lost through the head under normal conditions?,health
Eating before swimming is dangerous,Doesn't increase risk of cramps; alcohol is the biggest increase in risk.,7460000,0.706,"y,,, ""eating before swimming"" cramps or dangerous",health
