year,country_id,country,region,latitude,longitude,success,suicide,attack_type,target_type,gname,weapon_type,nperps,nkill,nkillus,nkillter,nwound
2014,45,Colombia,South America,8.86879,-73.194094,1,0,Bombing/Explosion,Utilities,National Liberation Army of Colombia (ELN),Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,182,Somalia,Sub-Saharan Africa,2.033333,45.35,1,1,Bombing/Explosion,Business,Al-Shabaab,Explosives/Bombs/Dynamite,2,4,0,1.5,20
2014,153,Pakistan,South Asia,30.191332,67.003051,1,1,Bombing/Explosion,Private Citizens & Property,Jaish-e-Islam,Explosives/Bombs/Dynamite,1,3,0,1,31
2014,153,Pakistan,South Asia,29.033333,69.15,0,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,182,Somalia,Sub-Saharan Africa,1.097128,42.598368,1,0,Hostage Taking (Kidnapping),NGO,Al-Shabaab,Unknown,-99,,0,0,
2014,95,Iraq,Middle East & North Africa,36.37658,43.18292,1,1,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,1,2,0,1,6
2014,95,Iraq,Middle East & North Africa,33.9976,44.365196,1,0,Armed Assault,Military,Unknown,Firearms,-99,2,0,0,3
2014,95,Iraq,Middle East & North Africa,33.66564,44.375984,1,0,Armed Assault,Police,Muslim Fundamentalists,Firearms,-99,4,0,0,12
2014,92,India,South Asia,24.782772,93.943216,1,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,92,India,South Asia,24.812291,93.947471,1,0,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,4,Afghanistan,South Asia,31.363647,63.958611,1,0,Unknown,Military,Unknown,Unknown,-99,1,1,0,0
2014,60,Egypt,Middle East & North Africa,30.121675,31.245176,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,1,0,0,0,3
