Date,Party,Votes,Seats
January 19 1919,Social Democratic Party,11509048,163
January 19 1920,Centre Party,5980216,91
January 19 1921,German Democratic Party,5641825,75
January 19 1922,German National People's Party,3121479,44
January 19 1923,German People's Party,1345638,19
January 19 1924,Bavarian Peasants' League,275125,4
June 6 1920,Social Democratic Party,6104398,102
June 6 1920,Independent Social Democratic Party of Germany,5046813,84
June 6 1920,German National People's Party,4249100,71
June 6 1920,German People's Party,3919446,65
June 6 1920,Centre Party,3845001,64
June 6 1920,German Democratic Party,2333741,39
June 6 1920,Bavarian People's Party,1173344,20
June 6 1920,Communist Party of Germany,589454,4
June 6 1920,German-Hanoverian Party,319108,5
June 6 1920,Bavarian Peasants' League,218596,4
June 6 1920,National Democratic People's Party,4015,0
May 4 1924,Social Democratic Party,6008905,100
May 4 1924,German National People's Party,5696475,95
May 4 1924,Centre Party,3914379,65
May 4 1924,Communist Party of Germany,3693280,62
May 4 1924,German People's Party,2694381,45
May 4 1924,National Socialist Freedom Movement,1918329,32
May 4 1924,German Democratic Party,1655129,28
May 4 1924,Bavarian People's Party,946648,16
May 4 1924,Agricultural League,574939,10
May 4 1924,Economic Party of the German Middle Class,500820,7
May 4 1924,German-Hanoverian Party,319792,5
December 7 1924,Social Democratic Party,7881041,131
December 7 1924,German National People's Party,6205802,103
December 7 1924,Centre Party,4118849,69
December 7 1924,German People's Party,3049064,51
December 7 1924,Communist Party of Germany,2709086,45
December 7 1924,German Democratic Party,1919829,32
December 7 1924,Bavarian People's Party,1134035,19
December 7 1924,National Socialist Freedom Movement,907242,14
December 7 1924,Agricultural League,500525,8
December 7 1924,Economic Party of the German Middle Class,692963,12
December 7 1924,German-Hanoverian Party,261549,4
May 20 1928,Social Democratic Party,9152979,153
May 20 1928,German National People's Party,4381563,73
May 20 1928,Centre Party,3712152,61
May 20 1928,Communist Party of Germany,3264793,54
May 20 1928,German People's Party,2679703,45
May 20 1928,German Democratic Party,1479374,25
May 20 1928,Reich Party of the German Middle Class,1387602,23
May 20 1928,Bavarian People's Party,945644,17
May 20 1928,National Socialist German Workers Party,810127,12
May 20 1928,Christian-National Peasants' and Farmers' Party,571891,9
May 20 1928,Reich Party for Civil Rights and Deflation,509471,2
May 20 1928,German Farmers' Party,481254,8
September 14 1930,Social Democratic Party,8575244,143
September 14 1930,National Socialist German Workers Party,6379672,107
September 14 1930,Communist Party of Germany,4590160,77
September 14 1930,Centre Party,4127000,68
September 14 1930,German National People's Party,2457686,41
September 14 1930,German People's Party,1577365,30
September 14 1930,German State Party,1322034,20
September 14 1930,Reich Party of the German Middle Class,1361762,23
September 14 1930,Christian-National Peasants' and Farmers' Party,1108043,19
September 14 1930,Bavarian People's Party,1058637,19
September 14 1930,Christian Social People's Service,868269,14
September 14 1930,German Farmers' Party,339434,6
September 14 1930,Reich Party for Civil Rights and Deflation/Christian Social Reich Party,271291,0
September 14 1930,Agricultural League,193926,3
September 14 1930,German-Hanoverian Party,144286,3
September 14 1930,Party against Alcohol,1171,0
July 31 1932,National Socialist German Workers Party,13745680,230
July 31 1932,Social Democratic Party of Germany,7959712,133
July 31 1932,Communist Party of Germany,5282636,89
July 31 1932,Centre Party,4589430,75
July 31 1932,German National People's Party,2178024,37
July 31 1932,Bavarian People's Party,1192684,22
July 31 1932,German People's Party,436002,7
July 31 1932,German State Party,371800,4
July 31 1932,Christian Social People's Service,364543,3
July 31 1932,Reich Party of the German Middle Class,146876,2
July 31 1932,German Farmers' Party,137133,2
July 31 1932,Agricultural League,96851,2
July 31 1932,German Country People,90554,1
July 31 1932,Socialist Workers' Party of Germany,72630,0
July 31 1932,German Workers Party,257,0
July 31 1932,German Reform Party,59,0
November 6 1932,National Socialist German Workers Party,11737021,196
November 6 1932,Social Democratic Party of Germany,7247901,121
November 6 1932,Communist Party of Germany,5980239,100
November 6 1932,Centre Party,4230545,70
November 6 1932,German National People's Party,2959053,51
November 6 1932,Bavarian People's Party,1094597,20
November 6 1932,German People's Party,660889,11
November 6 1932,Christian Social People's Service,403666,5
November 6 1932,German State Party,336447,2
November 6 1932,German Farmers' Party,149026,3
November 6 1932,Agricultural League,105220,2
November 6 1932,Reich Party of the German Middle Class,110309,1
November 6 1932,German-Hanoverian Party,63966,1
November 6 1932,Radical Middle Class,60246,0
November 6 1932,Thuringian Agricultural League,60062,1
November 6 1932,Christian-National Peasants' and Farmers' Party,46382,0
November 6 1932,People's Justice Party,46202,0
November 6 1932,Socialist Workers' Party of Germany,45201,0
November 6 1932,For Hindenberg and Pope,27752,0
November 6 1932,Nationalist Party,588,0
November 6 1932,People's Socialists,518,0
November 6 1932,Haus- und Landwirtepartei,461,0
November 6 1932,National Communist Party of Germany,381,0
November 6 1932,German Social Monarchist Party,355,0
November 6 1932,German Reform Party,352,0
November 6 1932,German Workers Party,308,0
March 3 1933,National Socialist German Workers Party,17277180,288
March 3 1933,Social Democratic Party of Germany,7181629,120
March 3 1933,Communist Party of Germany,4848058,81
March 3 1933,Centre Party,4424905,73
March 3 1933,Black-White-Red Struggle Front (DNVP)[a],3136760,52
March 3 1933,Bavarian People's Party,1073552,19
March 3 1933,German People's Party,432312,2
March 3 1933,Christian Social People's Service,383999,4
March 3 1933,German State Party,334242,5
March 3 1933,German Farmers' Party,114048,2
March 3 1933,Agricultural League,83839,1
March 3 1933,German-Hanoverian Party,47743,0
March 3 1933,Socialist Struggle Community,3954,0
