Party,December 7 1924,January 19 1919,January 19 1920,January 19 1921,January 19 1922,January 19 1923,January 19 1924,July 31 1932,June 6 1920,March 3 1933,May 20 1928,May 4 1924,November 6 1932,September 14 1930
Agricultural League,500525,0,0,0,0,0,0,96851,0,83839,0,574939,105220,193926
Bavarian Peasants' League,0,0,0,0,0,0,275125,0,218596,0,0,0,0,0
Bavarian People's Party,1134035,0,0,0,0,0,0,1192684,1173344,1073552,945644,946648,1094597,1058637
Black-White-Red Struggle Front (DNVP)[a],0,0,0,0,0,0,0,0,0,3136760,0,0,0,0
Centre Party,4118849,0,5980216,0,0,0,0,4589430,3845001,4424905,3712152,3914379,4230545,4127000
Christian Social People's Service,0,0,0,0,0,0,0,364543,0,383999,0,0,403666,868269
Christian-National Peasants' and Farmers' Party,0,0,0,0,0,0,0,0,0,0,571891,0,46382,1108043
Communist Party of Germany,2709086,0,0,0,0,0,0,5282636,589454,4848058,3264793,3693280,5980239,4590160
Economic Party of the German Middle Class,692963,0,0,0,0,0,0,0,0,0,0,500820,0,0
For Hindenberg and Pope,0,0,0,0,0,0,0,0,0,0,0,0,27752,0
German Country People,0,0,0,0,0,0,0,90554,0,0,0,0,0,0
German Democratic Party,1919829,0,0,5641825,0,0,0,0,2333741,0,1479374,1655129,0,0
German Farmers' Party,0,0,0,0,0,0,0,137133,0,114048,481254,0,149026,339434
German National People's Party,6205802,0,0,0,3121479,0,0,2178024,4249100,0,4381563,5696475,2959053,2457686
German People's Party,3049064,0,0,0,0,1345638,0,436002,3919446,432312,2679703,2694381,660889,1577365
German Reform Party,0,0,0,0,0,0,0,59,0,0,0,0,352,0
German Social Monarchist Party,0,0,0,0,0,0,0,0,0,0,0,0,355,0
German State Party,0,0,0,0,0,0,0,371800,0,334242,0,0,336447,1322034
German Workers Party,0,0,0,0,0,0,0,257,0,0,0,0,308,0
German-Hanoverian Party,261549,0,0,0,0,0,0,0,319108,47743,0,319792,63966,144286
Haus- und Landwirtepartei,0,0,0,0,0,0,0,0,0,0,0,0,461,0
Independent Social Democratic Party of Germany,0,0,0,0,0,0,0,0,5046813,0,0,0,0,0
National Socialist Freedom Movement,907242,0,0,0,0,0,0,0,0,0,0,1918329,0,0
National Socialist German Workers Party,0,0,0,0,0,0,0,13745680,0,17277180,810127,0,11737021,6379672
Nationalist Party,0,0,0,0,0,0,0,0,0,0,0,0,588,0
Party against Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,1171
People's Justice Party,0,0,0,0,0,0,0,0,0,0,0,0,46202,0
People's Socialists,0,0,0,0,0,0,0,0,0,0,0,0,518,0
Radical Middle Class,0,0,0,0,0,0,0,0,0,0,0,0,60246,0
Reich Party for Civil Rights and Deflation/Christian Social Reich Party,0,0,0,0,0,0,0,0,0,0,0,0,0,271291
Reich Party of the German Middle Class,0,0,0,0,0,0,0,146876,0,0,1387602,0,110309,1361762
Social Democratic Party,7881041,11509048,0,0,0,0,0,0,6104398,0,9152979,6008905,0,8575244
Social Democratic Party of Germany,0,0,0,0,0,0,0,7959712,0,7181629,0,0,7247901,0
Socialist Struggle Community,0,0,0,0,0,0,0,0,0,3954,0,0,0,0
Socialist Workers' Party of Germany,0,0,0,0,0,0,0,72630,0,0,0,0,45201,0
